id,fitness
0,0
1,58
2,80
3,138
4,79
5,137
6,159
7,217
8,87
9,145
10,167
11,225
12,166
13,224
14,246
15,304
16,41
17,99
18,121
19,179
20,120
21,178
22,200
23,258
24,128
25,186
26,208
27,266
28,207
29,265
30,287
31,345
32,120
33,178
34,200
35,258
36,199
37,257
38,279
39,337
40,207
41,265
42,287
43,345
44,286
45,344
46,366
47,424
48,161
49,219
50,241
51,299
52,240
53,298
54,320
55,378
56,248
57,306
58,328
59,386
60,327
61,385
62,407
63,465
64,15
65,73
66,95
67,153
68,94
69,152
70,174
71,232
72,102
73,160
74,182
75,240
76,181
77,239
78,261
79,319
80,56
81,114
82,136
83,194
84,135
85,193
86,215
87,273
88,143
89,201
90,223
91,281
92,222
93,280
94,302
95,360
96,135
97,193
98,215
99,273
100,214
101,272
102,294
103,352
104,222
105,280
106,302
107,360
108,301
109,359
110,381
111,439
112,176
113,234
114,256
115,314
116,255
117,313
118,335
119,393
120,263
121,321
122,343
123,401
124,342
125,400
126,422
127,480
128,68
129,126
130,148
131,206
132,147
133,205
134,227
135,285
136,155
137,213
138,235
139,293
140,234
141,292
142,314
143,372
144,109
145,167
146,189
147,247
148,188
149,246
150,268
151,326
152,196
153,254
154,276
155,334
156,275
157,333
158,355
159,413
160,188
161,246
162,268
163,326
164,267
165,325
166,347
167,405
168,275
169,333
170,355
171,413
172,354
173,412
174,434
175,492
176,229
177,287
178,309
179,367
180,308
181,366
182,388
183,446
184,316
185,374
186,396
187,454
188,395
189,453
190,475
191,533
192,83
193,141
194,163
195,221
196,162
197,220
198,242
199,300
200,170
201,228
202,250
203,308
204,249
205,307
206,329
207,387
208,124
209,182
210,204
211,262
212,203
213,261
214,283
215,341
216,211
217,269
218,291
219,349
220,290
221,348
222,370
223,428
224,203
225,261
226,283
227,341
228,282
229,340
230,362
231,420
232,290
233,348
234,370
235,428
236,369
237,427
238,449
239,507
240,244
241,302
242,324
243,382
244,323
245,381
246,403
247,461
248,331
249,389
250,411
251,469
252,410
253,468
254,490
255,548
256,21
257,79
258,101
259,159
260,100
261,158
262,180
263,238
264,108
265,166
266,188
267,246
268,187
269,245
270,267
271,325
272,62
273,120
274,142
275,200
276,141
277,199
278,221
279,279
280,149
281,207
282,229
283,287
284,228
285,286
286,308
287,366
288,141
289,199
290,221
291,279
292,220
293,278
294,300
295,358
296,228
297,286
298,308
299,366
300,307
301,365
302,387
303,445
304,182
305,240
306,262
307,320
308,261
309,319
310,341
311,399
312,269
313,327
314,349
315,407
316,348
317,406
318,428
319,486
320,36
321,94
322,116
323,174
324,115
325,173
326,195
327,253
328,123
329,181
330,203
331,261
332,202
333,260
334,282
335,340
336,77
337,135
338,157
339,215
340,156
341,214
342,236
343,294
344,164
345,222
346,244
347,302
348,243
349,301
350,323
351,381
352,156
353,214
354,236
355,294
356,235
357,293
358,315
359,373
360,243
361,301
362,323
363,381
364,322
365,380
366,402
367,460
368,197
369,255
370,277
371,335
372,276
