id,boa_peak,boa_size
0,14843,2058
1,14843,2058
2,14843,2058
3,14843,2058
4,15357,3078
5,15357,3078
6,11199,770
7,11199,770
8,14843,2058
9,14843,2058
10,14843,2058
11,14843,2058
12,15357,3078
13,15357,3078
14,11199,770
15,11199,770
16,14843,2058
17,14843,2058
18,14843,2058
19,14843,2058
20,15357,3078
21,15357,3078
22,11199,770
23,11199,770
24,14843,2058
25,14843,2058
26,14843,2058
27,14843,2058
28,15357,3078
29,15357,3078
30,11199,770
31,11199,770
32,14843,2058
33,14843,2058
34,14843,2058
35,14843,2058
36,15357,3078
37,15357,3078
38,11199,770
39,11199,770
40,14843,2058
41,14843,2058
42,14843,2058
43,14843,2058
44,15357,3078
45,15357,3078
46,11199,770
47,11199,770
48,14843,2058
49,14843,2058
50,14843,2058
51,14843,2058
52,15357,3078
53,15357,3078
54,11199,770
55,11199,770
56,14843,2058
57,14843,2058
58,14843,2058
59,14843,2058
60,15357,3078
61,15357,3078
62,11199,770
63,11199,770
64,14843,2058
65,14843,2058
66,14843,2058
67,14843,2058
68,15357,3078
69,15357,3078
70,16127,2050
71,16127,2050
72,14843,2058
73,14843,2058
74,14843,2058
75,14843,2058
76,15357,3078
77,15357,3078
78,16127,2050
79,16127,2050
80,14843,2058
81,14843,2058
82,14843,2058
83,14843,2058
84,15357,3078
85,15357,3078
86,16127,2050
87,16127,2050
88,14843,2058
89,14843,2058
90,14843,2058
91,14843,2058
92,15357,3078
93,15357,3078
94,16127,2050
95,16127,2050
96,14843,2058
97,14843,2058
98,14843,2058
99,14843,2058
100,15357,3078
101,15357,3078
102,16127,2050
103,16127,2050
104,14843,2058
105,14843,2058
106,14843,2058
107,14843,2058
108,15357,3078
109,15357,3078
110,16127,2050
111,16127,2050
112,14843,2058
113,14843,2058
114,14843,2058
115,14843,2058
116,15357,3078
117,15357,3078
118,16127,2050
119,16127,2050
120,14843,2058
121,14843,2058
122,14843,2058
123,14843,2058
124,15357,3078
125,15357,3078
126,16127,2050
127,16127,2050
128,14843,2058
129,14843,2058
130,14843,2058
131,14843,2058
132,15357,3078
133,15357,3078
134,11199,770
135,11199,770
136,14843,2058
137,14843,2058
138,14843,2058
139,14843,2058
140,15357,3078
141,15357,3078
142,11199,770
143,11199,770
144,14843,2058
145,14843,2058
146,14843,2058
147,14843,2058
148,15357,3078
149,15357,3078
150,11199,770
151,11199,770
152,14843,2058
153,14843,2058
154,14843,2058
155,14843,2058
156,15357,3078
157,15357,3078
158,11199,770
159,11199,770
160,14843,2058
161,14843,2058
162,14843,2058
163,14843,2058
164,15357,3078
165,15357,3078
166,11199,770
167,11199,770
168,14843,2058
169,14843,2058
170,14843,2058
171,14843,2058
172,15357,3078
173,15357,3078
174,11199,770
175,11199,770
176,14843,2058
177,14843,2058
178,14843,2058
179,14843,2058
180,15357,3078
181,15357,3078
182,11199,770
183,11199,770
184,14843,2058
185,14843,2058
186,14843,2058
187,14843,2058
188,15357,3078
189,15357,3078
190,11199,770
191,11199,770
192,14843,2058
193,14843,2058
194,14843,2058
195,14843,2058
196,15357,3078
197,15357,3078
198,16127,2050
199,16127,2050
200,14843,2058
201,14843,2058
202,14843,2058
203,14843,2058
204,15357,3078
205,15357,3078
206,16127,2050
207,16127,2050
208,14843,2058
209,14843,2058
210,14843,2058
211,14843,2058
212,15357,3078
213,15357,3078
214,16127,2050
215,16127,2050
216,14843,2058
217,14843,2058
218,14843,2058
219,14843,2058
220,15357,3078
221,15357,3078
222,16127,2050
223,16127,2050
224,14843,2058
225,14843,2058
226,14843,2058
227,14843,2058
228,15357,3078
229,15357,3078
230,16127,2050
231,16127,2050
232,14843,2058
233,14843,2058
234,14843,2058
235,14843,2058
236,15357,3078
237,15357,3078
238,16127,2050
239,16127,2050
240,14843,2058
241,14843,2058
242,14843,2058
243,14843,2058
244,15357,3078
245,15357,3078
246,16127,2050
247,16127,2050
248,14843,2058
249,14843,2058
250,14843,2058
251,14843,2058
252,15357,3078
253,15357,3078
254,16127,2050
255,16127,2050
256,14843,2058
257,14843,2058
258,14843,2058
259,14843,2058
260,15357,3078
261,15357,3078
262,11199,770
263,11199,770
264,14843,2058
265,14843,2058
266,14843,2058
267,14843,2058
268,15357,3078
269,15357,3078
270,11199,770
271,11199,770
272,14843,2058
273,14843,2058
274,14843,2058
275,14843,2058
276,15357,3078
277,15357,3078
278,11199,770
279,11199,770
280,14843,2058
281,14843,2058
282,14843,2058
283,14843,2058
284,15357,3078
285,15357,3078
286,11199,770
287,11199,770
288,14843,2058
289,14843,2058
290,14843,2058
291,14843,2058
292,15357,3078
293,15357,3078
294,11199,770
295,11199,770
296,14843,2058
297,14843,2058
298,14843,2058
299,14843,2058
300,15357,3078
301,15357,3078
302,11199,770
303,11199,770
304,14843,2058
305,14843,2058
306,14843,2058
307,14843,2058
308,15357,3078
309,15357,3078
310,11199,770
311,11199,770
312,14843,2058
313,14843,2058
314,14843,2058
315,14843,2058
316,15357,3078
317,15357,3078
318,11199,770
319,11199,770
320,14843,2058
321,14843,2058
322,14843,2058
323,14843,2058
324,15357,3078
325,15357,3078
326,3071,194
327,3071,194
328,14843,2058
329,14843,2058
330,14843,2058
331,14843,2058
332,15357,3078
333,15357,3078
334,3071,194
335,3071,194
336,14843,2058
337,14843,2058
338,14843,2058
339,14843,2058
340,15357,3078
341,15357,3078
342,3071,194
343,3071,194
344,14843,2058
345,14843,2058
346,14843,2058
347,14843,2058
348,15357,3078
349,15357,3078
350,3071,194
351,3071,194
352,14843,2058
353,14843,2058
354,14843,2058
355,14843,2058
356,15357,3078
357,15357,3078
358,3071,194
359,3071,194
360,14843,2058
361,14843,2058
362,14843,2058
363,14843,2058
364,15357,3078
365,15357,3078
366,3071,194
367,3071,194
368,14843,2058
369,14843,2058
370,14843,2058
371,14843,2058
372,15357,3078
373,15357,3078
374,3071,194
375,3071,194
376,14843,2058
377,14843,2058
378,14843,2058
379,14843,2058
380,15357,3078
381,15357,3078
382,3071,194
383,3071,194
384,14843,2058
385,14843,2058
386,14843,2058
387,14843,2058
388,15357,3078
389,15357,3078
390,11199,770
391,11199,770
392,14843,2058
393,14843,2058
394,14843,2058
395,14843,2058
396,15357,3078
397,15357,3078
398,11199,770
399,11199,770
400,14843,2058
401,14843,2058
402,14843,2058
403,14843,2058
404,15357,3078
405,15357,3078
406,11199,770
407,11199,770
408,14843,2058
409,14843,2058
410,14843,2058
411,14843,2058
412,15357,3078
413,15357,3078
414,11199,770
415,11199,770
416,14843,2058
417,14843,2058
418,14843,2058
419,14843,2058
420,15357,3078
421,15357,3078
422,11199,770
423,11199,770
424,14843,2058
425,14843,2058
426,14843,2058
427,14843,2058
428,15357,3078
429,15357,3078
430,11199,770
431,11199,770
432,14843,2058
433,14843,2058
434,14843,2058
435,14843,2058
436,15357,3078
437,15357,3078
438,11199,770
439,11199,770
440,14843,2058
441,14843,2058
442,14843,2058
443,14843,2058
444,15357,3078
445,15357,3078
446,11199,770
447,11199,770
448,14843,2058
449,14843,2058
450,14843,2058
451,14843,2058
452,15357,3078
453,15357,3078
454,3071,194
455,3071,194
456,14843,2058
457,14843,2058
458,14843,2058
459,14843,2058
460,15357,3078
461,15357,3078
462,3071,194
463,3071,194
464,14843,2058
465,14843,2058
466,14843,2058
467,14843,2058
468,15357,3078
469,15357,3078
470,3071,194
471,3071,194
472,14843,2058
473,14843,2058
474,14843,2058
475,14843,2058
476,15357,3078
477,15357,3078
478,3071,194
479,3071,194
480,14843,2058
481,14843,2058
482,14843,2058
483,14843,2058
484,15357,3078
485,15357,3078
486,3071,194
487,3071,194
488,14843,2058
489,14843,2058
490,14843,2058
491,14843,2058
492,15357,3078
493,15357,3078
494,3071,194
495,3071,194
496,14843,2058
497,14843,2058
498,14843,2058
499,14843,2058
500,15357,3078
501,15357,3078
502,3071,194
503,3071,194
504,14843,2058
505,14843,2058
506,14843,2058
507,14843,2058
508,15357,3078
509,15357,3078
510,3071,194
511,3071,194
512,15357,3078
513,15357,3078
514,11199,770
515,11199,770
516,15357,3078
517,15357,3078
518,11199,770
519,11199,770
520,15357,3078
521,15357,3078
522,11199,770
523,11199,770
524,15357,3078
525,15357,3078
526,11199,770
527,11199,770
528,15357,3078
529,15357,3078
530,11199,770
531,11199,770
532,15357,3078
533,15357,3078
534,11199,770
535,11199,770
536,15357,3078
537,15357,3078
538,11199,770
539,11199,770
540,15357,3078
541,15357,3078
542,11199,770
543,11199,770
544,15357,3078
545,15357,3078
546,11199,770
547,11199,770
548,15357,3078
549,15357,3078
550,11199,770
551,11199,770
552,15357,3078
553,15357,3078
554,11199,770
555,11199,770
556,15357,3078
557,15357,3078
558,11199,770
559,11199,770
560,15357,3078
561,15357,3078
562,11199,770
563,11199,770
564,15357,3078
565,15357,3078
566,11199,770
567,11199,770
568,15357,3078
569,15357,3078
570,11199,770
571,11199,770
572,15357,3078
573,15357,3078
574,11199,770
575,11199,770
576,15357,3078
577,15357,3078
578,16127,2050
579,16127,2050
580,15357,3078
581,15357,3078
582,16127,2050
583,16127,2050
584,15357,3078
585,15357,3078
586,16127,2050
587,16127,2050
588,15357,3078
589,15357,3078
590,16127,2050
591,16127,2050
592,15357,3078
593,15357,3078
594,16127,2050
595,16127,2050
596,15357,3078
597,15357,3078
598,16127,2050
599,16127,2050
600,15357,3078
601,15357,3078
602,16127,2050
603,16127,2050
604,15357,3078
605,15357,3078
606,16127,2050
607,16127,2050
608,15357,3078
609,15357,3078
610,16127,2050
611,16127,2050
612,15357,3078
613,15357,3078
614,16127,2050
615,16127,2050
616,15357,3078
617,15357,3078
618,16127,2050
619,16127,2050
620,15357,3078
621,15357,3078
622,16127,2050
623,16127,2050
624,15357,3078
625,15357,3078
626,16127,2050
627,16127,2050
628,15357,3078
629,15357,3078
630,16127,2050
631,16127,2050
632,15357,3078
633,15357,3078
634,16127,2050
635,16127,2050
636,15357,3078
637,15357,3078
638,16127,2050
639,16127,2050
640,15357,3078
641,15357,3078
642,11199,770
643,11199,770
644,15357,3078
645,15357,3078
646,11199,770
647,11199,770
648,15357,3078
649,15357,3078
650,11199,770
651,11199,770
652,15357,3078
653,15357,3078
654,11199,770
655,11199,770
656,15357,3078
657,15357,3078
658,11199,770
659,11199,770
660,15357,3078
661,15357,3078
662,11199,770
663,11199,770
664,15357,3078
665,15357,3078
666,11199,770
667,11199,770
668,15357,3078
669,15357,3078
670,11199,770
671,11199,770
672,15357,3078
673,15357,3078
674,11199,770
675,11199,770
676,15357,3078
677,15357,3078
678,11199,770
679,11199,770
680,15357,3078
681,15357,3078
682,11199,770
683,11199,770
684,15357,3078
685,15357,3078
686,11199,770
687,11199,770
688,15357,3078
689,15357,3078
690,11199,770
691,11199,770
692,15357,3078
693,15357,3078
694,11199,770
695,11199,770
696,15357,3078
697,15357,3078
698,11199,770
699,11199,770
700,15357,3078
701,15357,3078
702,11199,770
703,11199,770
704,15357,3078
705,15357,3078
706,16127,2050
707,16127,2050
708,15357,3078
709,15357,3078
710,16127,2050
711,16127,2050
712,15357,3078
713,15357,3078
714,16127,2050
715,16127,2050
716,15357,3078
717,15357,3078
718,16127,2050
719,16127,2050
720,15357,3078
721,15357,3078
722,16127,2050
723,16127,2050
724,15357,3078
725,15357,3078
726,16127,2050
