id,boa_peak,boa_size
0,8198,29
1,4613,34
2,8198,29
3,2563,31
4,8198,29
5,4613,34
6,8198,29
7,8198,29
8,8716,45
9,10249,23
10,4106,23
11,4106,23
12,8716,45
13,8716,45
14,8198,29
15,8207,2
16,2068,18
17,19,16
18,19,16
19,19,16
20,2068,18
21,4613,34
22,8198,29
23,19,16
24,152,16
25,537,25
26,4106,23
27,19,16
28,8716,45
29,537,25
30,8222,2
31,8223,2
32,37,15
33,37,15
34,674,28
35,8227,17
36,37,15
37,37,15
38,8198,29
39,37,15
40,8360,19
41,8745,24
42,4106,23
43,8227,17
44,8716,45
45,37,15
46,8238,2
47,8239,2
48,564,20
49,2097,18
50,8754,25
51,19,16
52,564,20
53,37,15
54,564,20
55,8247,2
56,8760,15
57,537,25
58,8754,25
59,8251,2
60,564,20
61,8253,2
62,8254,2
63,8255,2
64,580,22
65,2113,14
66,8770,37
67,8770,37
68,580,22
69,580,22
70,8198,29
71,8263,2
72,8776,32
73,8776,32
74,4106,23
75,8267,2
76,8716,45
77,8269,2
78,8270,2
79,8271,2
80,2640,20
81,2113,14
82,8770,37
83,19,16
84,580,22
85,8277,2
86,8278,2
87,8279,2
88,8776,32
89,537,25
90,8282,2
91,8283,2
92,8284,2
93,8285,2
94,8286,2
95,8287,2
96,224,11
97,609,15
98,8770,37
99,8227,17
100,580,22
101,37,15
102,8294,2
103,8295,2
104,8776,32
105,8745,24
106,8298,2
107,8299,2
108,8300,2
109,8301,2
110,8302,2
111,8303,2
112,8304,10
113,609,15
114,8754,25
115,8307,2
116,564,20
117,8309,2
118,8310,2
119,8311,2
120,8760,15
121,8313,2
122,8314,2
123,8315,2
124,8316,2
125,8317,2
126,8318,2
127,8319,2
128,4228,22
129,10881,37
130,2178,20
131,2178,20
132,4228,22
133,4228,22
134,8198,29
135,8327,2
136,2696,33
137,2696,33
138,4106,23
139,8331,2
140,8716,45
141,8333,2
142,8334,2
143,8335,2
144,152,16
145,8849,36
146,2178,20
147,19,16
148,4228,22
149,8849,36
150,8342,2
151,8343,2
152,152,16
153,152,16
154,152,16
155,8347,2
156,152,16
157,8349,2
158,8350,2
159,8351,2
160,674,28
