id,eigencentrality
0,0.0
1,1.3634732920488265E-5
2,1.3634732920488265E-5
4,1.3634732920488265E-5
8,1.3634732920488265E-5
16,1.3634732920488265E-5
32,1.3634732920488265E-5
64,1.3634732920488265E-5
128,1.3634732920488265E-5
256,1.3634732920488265E-5
512,1.3634732920488265E-5
1024,1.3634732920488265E-5
2048,1.3634732920488265E-5
4096,1.3634732920488265E-5
8192,1.3634732920488265E-5
3,5.3347516812849246E-5
5,5.3347516812849246E-5
9,5.3347516812849246E-5
17,5.3347516812849246E-5
33,5.3347516812849246E-5
65,5.3347516812849246E-5
129,5.3347516812849246E-5
257,5.3347516812849246E-5
513,5.3347516812849246E-5
1025,5.3347516812849246E-5
2049,5.3347516812849246E-5
4097,5.3347516812849246E-5
8193,5.3347516812849246E-5
6,5.3347516812849246E-5
10,5.3347516812849246E-5
18,5.3347516812849246E-5
34,5.3347516812849246E-5
66,5.3347516812849246E-5
130,5.3347516812849246E-5
258,5.3347516812849246E-5
514,5.3347516812849246E-5
1026,5.3347516812849246E-5
2050,5.3347516812849246E-5
4098,5.3347516812849246E-5
8194,5.3347516812849246E-5
7,1.5617613185436752E-4
11,1.5617613185436752E-4
19,1.5617613185436752E-4
35,1.5617613185436752E-4
67,1.5617613185436752E-4
131,1.5617613185436752E-4
259,1.5617613185436752E-4
515,1.5617613185436752E-4
1027,1.5617613185436752E-4
2051,1.5617613185436752E-4
4099,1.5617613185436752E-4
8195,1.5617613185436752E-4
12,5.3347516812849246E-5
20,5.3347516812849246E-5
36,5.3347516812849246E-5
68,5.3347516812849246E-5
132,5.3347516812849246E-5
260,5.3347516812849246E-5
516,5.3347516812849246E-5
1028,5.3347516812849246E-5
2052,5.3347516812849246E-5
4100,5.3347516812849246E-5
8196,5.3347516812849246E-5
13,1.5617613185436752E-4
21,1.5617613185436752E-4
37,1.5617613185436752E-4
69,1.5617613185436752E-4
133,1.5617613185436752E-4
261,1.5617613185436752E-4
517,1.5617613185436752E-4
1029,1.5617613185436752E-4
2053,1.5617613185436752E-4
4101,1.5617613185436752E-4
8197,1.5617613185436752E-4
14,1.5617613185436752E-4
22,1.5617613185436752E-4
38,1.5617613185436752E-4
70,1.5617613185436752E-4
134,1.5617613185436752E-4
