id,boa_peak,boa_size
0,16383,16384
1,16383,16384
2,16383,16384
3,16383,16384
4,16383,16384
5,16383,16384
6,16383,16384
7,16383,16384
8,16383,16384
9,16383,16384
10,16383,16384
11,16383,16384
12,16383,16384
13,16383,16384
14,16383,16384
15,16383,16384
16,16383,16384
17,16383,16384
18,16383,16384
19,16383,16384
20,16383,16384
21,16383,16384
22,16383,16384
23,16383,16384
24,16383,16384
25,16383,16384
26,16383,16384
27,16383,16384
28,16383,16384
29,16383,16384
30,16383,16384
31,16383,16384
32,16383,16384
33,16383,16384
34,16383,16384
35,16383,16384
36,16383,16384
37,16383,16384
38,16383,16384
39,16383,16384
40,16383,16384
41,16383,16384
42,16383,16384
43,16383,16384
44,16383,16384
45,16383,16384
46,16383,16384
47,16383,16384
48,16383,16384
49,16383,16384
50,16383,16384
51,16383,16384
52,16383,16384
53,16383,16384
54,16383,16384
55,16383,16384
56,16383,16384
57,16383,16384
58,16383,16384
59,16383,16384
60,16383,16384
61,16383,16384
62,16383,16384
63,16383,16384
64,16383,16384
65,16383,16384
66,16383,16384
67,16383,16384
68,16383,16384
69,16383,16384
70,16383,16384
71,16383,16384
72,16383,16384
73,16383,16384
74,16383,16384
75,16383,16384
76,16383,16384
77,16383,16384
78,16383,16384
79,16383,16384
80,16383,16384
81,16383,16384
82,16383,16384
83,16383,16384
84,16383,16384
85,16383,16384
86,16383,16384
87,16383,16384
88,16383,16384
89,16383,16384
90,16383,16384
91,16383,16384
92,16383,16384
93,16383,16384
94,16383,16384
95,16383,16384
96,16383,16384
97,16383,16384
98,16383,16384
99,16383,16384
100,16383,16384
101,16383,16384
102,16383,16384
103,16383,16384
104,16383,16384
105,16383,16384
106,16383,16384
107,16383,16384
108,16383,16384
109,16383,16384
110,16383,16384
111,16383,16384
112,16383,16384
113,16383,16384
114,16383,16384
115,16383,16384
116,16383,16384
117,16383,16384
118,16383,16384
119,16383,16384
120,16383,16384
121,16383,16384
122,16383,16384
123,16383,16384
124,16383,16384
125,16383,16384
126,16383,16384
127,16383,16384
128,16383,16384
129,16383,16384
130,16383,16384
131,16383,16384
132,16383,16384
133,16383,16384
134,16383,16384
135,16383,16384
136,16383,16384
137,16383,16384
138,16383,16384
139,16383,16384
140,16383,16384
141,16383,16384
142,16383,16384
143,16383,16384
144,16383,16384
145,16383,16384
146,16383,16384
147,16383,16384
148,16383,16384
149,16383,16384
150,16383,16384
151,16383,16384
152,16383,16384
153,16383,16384
154,16383,16384
155,16383,16384
156,16383,16384
157,16383,16384
158,16383,16384
159,16383,16384
160,16383,16384
161,16383,16384
162,16383,16384
163,16383,16384
164,16383,16384
165,16383,16384
166,16383,16384
167,16383,16384
168,16383,16384
169,16383,16384
170,16383,16384
171,16383,16384
172,16383,16384
173,16383,16384
174,16383,16384
175,16383,16384
176,16383,16384
177,16383,16384
178,16383,16384
179,16383,16384
180,16383,16384
181,16383,16384
182,16383,16384
183,16383,16384
184,16383,16384
185,16383,16384
186,16383,16384
187,16383,16384
188,16383,16384
189,16383,16384
190,16383,16384
191,16383,16384
192,16383,16384
193,16383,16384
194,16383,16384
195,16383,16384
196,16383,16384
197,16383,16384
198,16383,16384
199,16383,16384
200,16383,16384
201,16383,16384
202,16383,16384
203,16383,16384
204,16383,16384
205,16383,16384
206,16383,16384
207,16383,16384
208,16383,16384
209,16383,16384
210,16383,16384
211,16383,16384
212,16383,16384
213,16383,16384
214,16383,16384
215,16383,16384
216,16383,16384
217,16383,16384
218,16383,16384
219,16383,16384
220,16383,16384
221,16383,16384
222,16383,16384
223,16383,16384
224,16383,16384
225,16383,16384
226,16383,16384
227,16383,16384
228,16383,16384
229,16383,16384
230,16383,16384
231,16383,16384
232,16383,16384
233,16383,16384
234,16383,16384
235,16383,16384
236,16383,16384
237,16383,16384
238,16383,16384
239,16383,16384
240,16383,16384
241,16383,16384
242,16383,16384
243,16383,16384
244,16383,16384
245,16383,16384
246,16383,16384
247,16383,16384
248,16383,16384
249,16383,16384
250,16383,16384
251,16383,16384
252,16383,16384
253,16383,16384
254,16383,16384
255,16383,16384
256,16383,16384
257,16383,16384
258,16383,16384
259,16383,16384
260,16383,16384
261,16383,16384
262,16383,16384
263,16383,16384
264,16383,16384
265,16383,16384
266,16383,16384
267,16383,16384
268,16383,16384
269,16383,16384
270,16383,16384
271,16383,16384
272,16383,16384
273,16383,16384
274,16383,16384
275,16383,16384
276,16383,16384
277,16383,16384
278,16383,16384
279,16383,16384
280,16383,16384
281,16383,16384
282,16383,16384
283,16383,16384
284,16383,16384
285,16383,16384
286,16383,16384
287,16383,16384
288,16383,16384
289,16383,16384
290,16383,16384
291,16383,16384
292,16383,16384
293,16383,16384
294,16383,16384
295,16383,16384
296,16383,16384
297,16383,16384
298,16383,16384
299,16383,16384
300,16383,16384
301,16383,16384
302,16383,16384
303,16383,16384
304,16383,16384
305,16383,16384
306,16383,16384
307,16383,16384
308,16383,16384
309,16383,16384
310,16383,16384
311,16383,16384
312,16383,16384
313,16383,16384
314,16383,16384
315,16383,16384
316,16383,16384
317,16383,16384
318,16383,16384
319,16383,16384
320,16383,16384
321,16383,16384
322,16383,16384
323,16383,16384
324,16383,16384
325,16383,16384
326,16383,16384
327,16383,16384
328,16383,16384
329,16383,16384
330,16383,16384
331,16383,16384
332,16383,16384
333,16383,16384
334,16383,16384
335,16383,16384
336,16383,16384
337,16383,16384
338,16383,16384
339,16383,16384
340,16383,16384
341,16383,16384
342,16383,16384
343,16383,16384
344,16383,16384
345,16383,16384
346,16383,16384
347,16383,16384
348,16383,16384
349,16383,16384
350,16383,16384
351,16383,16384
352,16383,16384
353,16383,16384
354,16383,16384
355,16383,16384
356,16383,16384
357,16383,16384
358,16383,16384
359,16383,16384
360,16383,16384
361,16383,16384
362,16383,16384
363,16383,16384
364,16383,16384
365,16383,16384
366,16383,16384
367,16383,16384
368,16383,16384
369,16383,16384
370,16383,16384
371,16383,16384
372,16383,16384
373,16383,16384
374,16383,16384
375,16383,16384
376,16383,16384
377,16383,16384
378,16383,16384
379,16383,16384
380,16383,16384
381,16383,16384
382,16383,16384
383,16383,16384
384,16383,16384
385,16383,16384
386,16383,16384
387,16383,16384
388,16383,16384
389,16383,16384
390,16383,16384
391,16383,16384
392,16383,16384
393,16383,16384
394,16383,16384
395,16383,16384
396,16383,16384
397,16383,16384
398,16383,16384
399,16383,16384
400,16383,16384
401,16383,16384
402,16383,16384
403,16383,16384
404,16383,16384
405,16383,16384
406,16383,16384
407,16383,16384
408,16383,16384
409,16383,16384
410,16383,16384
411,16383,16384
412,16383,16384
413,16383,16384
414,16383,16384
415,16383,16384
416,16383,16384
417,16383,16384
418,16383,16384
419,16383,16384
420,16383,16384
421,16383,16384
422,16383,16384
423,16383,16384
424,16383,16384
425,16383,16384
426,16383,16384
427,16383,16384
428,16383,16384
429,16383,16384
430,16383,16384
431,16383,16384
432,16383,16384
433,16383,16384
434,16383,16384
435,16383,16384
436,16383,16384
437,16383,16384
438,16383,16384
439,16383,16384
440,16383,16384
441,16383,16384
442,16383,16384
443,16383,16384
444,16383,16384
445,16383,16384
446,16383,16384
447,16383,16384
448,16383,16384
449,16383,16384
450,16383,16384
451,16383,16384
452,16383,16384
453,16383,16384
454,16383,16384
455,16383,16384
456,16383,16384
457,16383,16384
458,16383,16384
459,16383,16384
460,16383,16384
461,16383,16384
462,16383,16384
463,16383,16384
464,16383,16384
465,16383,16384
466,16383,16384
467,16383,16384
468,16383,16384
469,16383,16384
470,16383,16384
471,16383,16384
472,16383,16384
473,16383,16384
474,16383,16384
475,16383,16384
476,16383,16384
477,16383,16384
478,16383,16384
479,16383,16384
480,16383,16384
481,16383,16384
482,16383,16384
483,16383,16384
484,16383,16384
485,16383,16384
486,16383,16384
487,16383,16384
488,16383,16384
489,16383,16384
490,16383,16384
491,16383,16384
492,16383,16384
493,16383,16384
494,16383,16384
495,16383,16384
496,16383,16384
497,16383,16384
498,16383,16384
499,16383,16384
500,16383,16384
501,16383,16384
502,16383,16384
503,16383,16384
504,16383,16384
505,16383,16384
506,16383,16384
507,16383,16384
508,16383,16384
509,16383,16384
510,16383,16384
511,16383,16384
512,16383,16384
513,16383,16384
514,16383,16384
515,16383,16384
516,16383,16384
517,16383,16384
518,16383,16384
519,16383,16384
520,16383,16384
521,16383,16384
522,16383,16384
523,16383,16384
524,16383,16384
525,16383,16384
526,16383,16384
527,16383,16384
528,16383,16384
529,16383,16384
530,16383,16384
531,16383,16384
532,16383,16384
533,16383,16384
534,16383,16384
535,16383,16384
536,16383,16384
537,16383,16384
538,16383,16384
539,16383,16384
540,16383,16384
541,16383,16384
542,16383,16384
543,16383,16384
544,16383,16384
545,16383,16384
546,16383,16384
547,16383,16384
548,16383,16384
549,16383,16384
550,16383,16384
551,16383,16384
552,16383,16384
553,16383,16384
554,16383,16384
555,16383,16384
556,16383,16384
557,16383,16384
558,16383,16384
559,16383,16384
560,16383,16384
561,16383,16384
562,16383,16384
563,16383,16384
564,16383,16384
565,16383,16384
566,16383,16384
567,16383,16384
568,16383,16384
569,16383,16384
570,16383,16384
571,16383,16384
572,16383,16384
573,16383,16384
574,16383,16384
575,16383,16384
576,16383,16384
577,16383,16384
578,16383,16384
579,16383,16384
580,16383,16384
581,16383,16384
582,16383,16384
583,16383,16384
584,16383,16384
585,16383,16384
586,16383,16384
587,16383,16384
588,16383,16384
589,16383,16384
590,16383,16384
591,16383,16384
592,16383,16384
593,16383,16384
594,16383,16384
595,16383,16384
596,16383,16384
597,16383,16384
598,16383,16384
599,16383,16384
600,16383,16384
601,16383,16384
602,16383,16384
603,16383,16384
604,16383,16384
605,16383,16384
606,16383,16384
607,16383,16384
608,16383,16384
609,16383,16384
610,16383,16384
611,16383,16384
612,16383,16384
613,16383,16384
614,16383,16384
615,16383,16384
616,16383,16384
617,16383,16384
618,16383,16384
619,16383,16384
620,16383,16384
621,16383,16384
622,16383,16384
623,16383,16384
624,16383,16384
625,16383,16384
626,16383,16384
627,16383,16384
628,16383,16384
629,16383,16384
630,16383,16384
631,16383,16384
632,16383,16384
633,16383,16384
634,16383,16384
635,16383,16384
636,16383,16384
637,16383,16384
638,16383,16384
639,16383,16384
640,16383,16384
641,16383,16384
642,16383,16384
643,16383,16384
644,16383,16384
645,16383,16384
646,16383,16384
647,16383,16384
648,16383,16384
649,16383,16384
650,16383,16384
651,16383,16384
652,16383,16384
653,16383,16384
654,16383,16384
655,16383,16384
656,16383,16384
657,16383,16384
658,16383,16384
659,16383,16384
660,16383,16384
661,16383,16384
662,16383,16384
663,16383,16384
664,16383,16384
665,16383,16384
666,16383,16384
667,16383,16384
668,16383,16384
669,16383,16384
670,16383,16384
671,16383,16384
672,16383,16384
673,16383,16384
674,16383,16384
675,16383,16384
676,16383,16384
677,16383,16384
678,16383,16384
679,16383,16384
680,16383,16384
681,16383,16384
682,16383,16384
683,16383,16384
684,16383,16384
685,16383,16384
686,16383,16384
687,16383,16384
688,16383,16384
689,16383,16384
690,16383,16384
691,16383,16384
692,16383,16384
693,16383,16384
694,16383,16384
695,16383,16384
696,16383,16384
697,16383,16384
698,16383,16384
699,16383,16384
700,16383,16384
701,16383,16384
702,16383,16384
703,16383,16384
704,16383,16384
705,16383,16384
706,16383,16384
707,16383,16384
708,16383,16384
709,16383,16384
710,16383,16384
711,16383,16384
712,16383,16384
713,16383,16384
714,16383,16384
715,16383,16384
716,16383,16384
717,16383,16384
718,16383,16384
719,16383,16384
720,16383,16384
721,16383,16384
722,16383,16384
723,16383,16384
724,16383,16384
725,16383,16384
726,16383,16384
727,16383,16384
728,16383,16384
729,16383,16384
730,16383,16384
731,16383,16384
732,16383,16384
733,16383,16384
734,16383,16384
735,16383,16384
736,16383,16384
737,16383,16384
738,16383,16384
739,16383,16384
740,16383,16384
741,16383,16384
742,16383,16384
743,16383,16384
744,16383,16384
745,16383,16384
746,16383,16384
747,16383,16384
748,16383,16384
749,16383,16384
750,16383,16384
751,16383,16384
752,16383,16384
753,16383,16384
754,16383,16384
755,16383,16384
756,16383,16384
757,16383,16384
758,16383,16384
759,16383,16384
760,16383,16384
761,16383,16384
762,16383,16384
763,16383,16384
764,16383,16384
765,16383,16384
766,16383,16384
767,16383,16384
768,16383,16384
769,16383,16384
770,16383,16384
771,16383,16384
772,16383,16384
773,16383,16384
774,16383,16384
775,16383,16384
776,16383,16384
777,16383,16384
778,16383,16384
779,16383,16384
780,16383,16384
781,16383,16384
782,16383,16384
783,16383,16384
784,16383,16384
785,16383,16384
786,16383,16384
787,16383,16384
788,16383,16384
789,16383,16384
790,16383,16384
791,16383,16384
792,16383,16384
793,16383,16384
794,16383,16384
795,16383,16384
796,16383,16384
797,16383,16384
798,16383,16384
799,16383,16384
800,16383,16384
801,16383,16384
802,16383,16384
803,16383,16384
804,16383,16384
805,16383,16384
806,16383,16384
807,16383,16384
808,16383,16384
809,16383,16384
810,16383,16384
811,16383,16384
812,16383,16384
813,16383,16384
814,16383,16384
815,16383,16384
816,16383,16384
817,16383,16384
818,16383,16384
819,16383,16384
820,16383,16384
821,16383,16384
822,16383,16384
823,16383,16384
824,16383,16384
825,16383,16384
826,16383,16384
827,16383,16384
828,16383,16384
829,16383,16384
830,16383,16384
831,16383,16384
832,16383,16384
833,16383,16384
834,16383,16384
835,16383,16384
836,16383,16384
837,16383,16384
838,16383,16384
839,16383,16384
840,16383,16384
841,16383,16384
842,16383,16384
843,16383,16384
844,16383,16384
845,16383,16384
846,16383,16384
847,16383,16384
848,16383,16384
849,16383,16384
850,16383,16384
851,16383,16384
852,16383,16384
853,16383,16384
854,16383,16384
855,16383,16384
856,16383,16384
857,16383,16384
858,16383,16384
859,16383,16384
860,16383,16384
861,16383,16384
862,16383,16384
863,16383,16384
864,16383,16384
865,16383,16384
866,16383,16384
867,16383,16384
868,16383,16384
869,16383,16384
870,16383,16384
871,16383,16384
872,16383,16384
873,16383,16384
874,16383,16384
875,16383,16384
876,16383,16384
877,16383,16384
878,16383,16384
879,16383,16384
880,16383,16384
881,16383,16384
882,16383,16384
883,16383,16384
884,16383,16384
885,16383,16384
886,16383,16384
887,16383,16384
888,16383,16384
889,16383,16384
890,16383,16384
891,16383,16384
892,16383,16384
893,16383,16384
894,16383,16384
895,16383,16384
896,16383,16384
897,16383,16384
898,16383,16384
899,16383,16384
900,16383,16384
901,16383,16384
902,16383,16384
903,16383,16384
904,16383,16384
905,16383,16384
906,16383,16384
907,16383,16384
908,16383,16384
909,16383,16384
910,16383,16384
911,16383,16384
912,16383,16384
913,16383,16384
914,16383,16384
915,16383,16384
916,16383,16384
917,16383,16384
918,16383,16384
919,16383,16384
920,16383,16384
921,16383,16384
922,16383,16384
923,16383,16384
924,16383,16384
925,16383,16384
926,16383,16384
927,16383,16384
928,16383,16384
929,16383,16384
930,16383,16384
931,16383,16384
932,16383,16384
933,16383,16384
934,16383,16384
935,16383,16384
936,16383,16384
937,16383,16384
938,16383,16384
939,16383,16384
940,16383,16384
941,16383,16384
942,16383,16384
943,16383,16384
944,16383,16384
945,16383,16384
946,16383,16384
947,16383,16384
948,16383,16384
949,16383,16384
950,16383,16384
951,16383,16384
952,16383,16384
953,16383,16384
954,16383,16384
955,16383,16384
956,16383,16384
957,16383,16384
958,16383,16384
959,16383,16384
960,16383,16384
961,16383,16384
962,16383,16384
963,16383,16384
964,16383,16384
965,16383,16384
966,16383,16384
967,16383,16384
968,16383,16384
969,16383,16384
970,16383,16384
971,16383,16384
972,16383,16384
973,16383,16384
974,16383,16384
975,16383,16384
976,16383,16384
977,16383,16384
978,16383,16384
979,16383,16384
980,16383,16384
981,16383,16384
982,16383,16384
983,16383,16384
984,16383,16384
985,16383,16384
986,16383,16384
987,16383,16384
988,16383,16384
989,16383,16384
990,16383,16384
991,16383,16384
992,16383,16384
993,16383,16384
994,16383,16384
995,16383,16384
996,16383,16384
997,16383,16384
998,16383,16384
999,16383,16384
1000,16383,16384
1001,16383,16384
1002,16383,16384
1003,16383,16384
1004,16383,16384
1005,16383,16384
1006,16383,16384
1007,16383,16384
1008,16383,16384
1009,16383,16384
1010,16383,16384
1011,16383,16384
1012,16383,16384
1013,16383,16384
1014,16383,16384
1015,16383,16384
1016,16383,16384
1017,16383,16384
1018,16383,16384
1019,16383,16384
1020,16383,16384
1021,16383,16384
1022,16383,16384
1023,16383,16384
1024,16383,16384
1025,16383,16384
1026,16383,16384
1027,16383,16384
1028,16383,16384
1029,16383,16384
1030,16383,16384
1031,16383,16384
1032,16383,16384
1033,16383,16384
1034,16383,16384
1035,16383,16384
1036,16383,16384
1037,16383,16384
1038,16383,16384
1039,16383,16384
1040,16383,16384
1041,16383,16384
1042,16383,16384
1043,16383,16384
1044,16383,16384
1045,16383,16384
1046,16383,16384
1047,16383,16384
1048,16383,16384
1049,16383,16384
1050,16383,16384
1051,16383,16384
1052,16383,16384
1053,16383,16384
1054,16383,16384
1055,16383,16384
1056,16383,16384
1057,16383,16384
1058,16383,16384
1059,16383,16384
1060,16383,16384
1061,16383,16384
1062,16383,16384
1063,16383,16384
1064,16383,16384
1065,16383,16384
1066,16383,16384
1067,16383,16384
1068,16383,16384
1069,16383,16384
1070,16383,16384
1071,16383,16384
1072,16383,16384
1073,16383,16384
1074,16383,16384
1075,16383,16384
1076,16383,16384
1077,16383,16384
1078,16383,16384
1079,16383,16384
1080,16383,16384
1081,16383,16384
1082,16383,16384
1083,16383,16384
1084,16383,16384
1085,16383,16384
1086,16383,16384
1087,16383,16384
1088,16383,16384
1089,16383,16384
1090,16383,16384
1091,16383,16384
1092,16383,16384
1093,16383,16384
1094,16383,16384
1095,16383,16384
1096,16383,16384
1097,16383,16384
1098,16383,16384
1099,16383,16384
1100,16383,16384
1101,16383,16384
1102,16383,16384
1103,16383,16384
1104,16383,16384
1105,16383,16384
1106,16383,16384
1107,16383,16384
1108,16383,16384
1109,16383,16384
1110,16383,16384
1111,16383,16384
1112,16383,16384
1113,16383,16384
1114,16383,16384
1115,16383,16384
1116,16383,16384
1117,16383,16384
1118,16383,16384
1119,16383,16384
1120,16383,16384
1121,16383,16384
1122,16383,16384
1123,16383,16384
1124,16383,16384
1125,16383,16384
1126,16383,16384
1127,16383,16384
1128,16383,16384
1129,16383,16384
1130,16383,16384
1131,16383,16384
1132,16383,16384
1133,16383,16384
1134,16383,16384
1135,16383,16384
1136,16383,16384
1137,16383,16384
1138,16383,16384
1139,16383,16384
1140,16383,16384
1141,16383,16384
1142,16383,16384
1143,16383,16384
1144,16383,16384
1145,16383,16384
1146,16383,16384
1147,16383,16384
1148,16383,16384
1149,16383,16384
1150,16383,16384
1151,16383,16384
1152,16383,16384
1153,16383,16384
1154,16383,16384
1155,16383,16384
1156,16383,16384
1157,16383,16384
1158,16383,16384
1159,16383,16384
1160,16383,16384
1161,16383,16384
1162,16383,16384
1163,16383,16384
1164,16383,16384
1165,16383,16384
1166,16383,16384
1167,16383,16384
1168,16383,16384
1169,16383,16384
1170,16383,16384
1171,16383,16384
1172,16383,16384
1173,16383,16384
1174,16383,16384
1175,16383,16384
1176,16383,16384
1177,16383,16384
1178,16383,16384
1179,16383,16384
1180,16383,16384
1181,16383,16384
1182,16383,16384
1183,16383,16384
1184,16383,16384
1185,16383,16384
1186,16383,16384
1187,16383,16384
1188,16383,16384
1189,16383,16384
1190,16383,16384
1191,16383,16384
1192,16383,16384
1193,16383,16384
1194,16383,16384
1195,16383,16384
1196,16383,16384
1197,16383,16384
1198,16383,16384
1199,16383,16384
1200,16383,16384
1201,16383,16384
1202,16383,16384
1203,16383,16384
1204,16383,16384
1205,16383,16384
1206,16383,16384
1207,16383,16384
1208,16383,16384
1209,16383,16384
1210,16383,16384
1211,16383,16384
1212,16383,16384
1213,16383,16384
1214,16383,16384
1215,16383,16384
1216,16383,16384
1217,16383,16384
1218,16383,16384
1219,16383,16384
1220,16383,16384
1221,16383,16384
1222,16383,16384
1223,16383,16384
1224,16383,16384
1225,16383,16384
1226,16383,16384
1227,16383,16384
1228,16383,16384
1229,16383,16384
1230,16383,16384
1231,16383,16384
1232,16383,16384
1233,16383,16384
1234,16383,16384
1235,16383,16384
1236,16383,16384
1237,16383,16384
1238,16383,16384
1239,16383,16384
1240,16383,16384
1241,16383,16384
1242,16383,16384
1243,16383,16384
1244,16383,16384
1245,16383,16384
1246,16383,16384
1247,16383,16384
1248,16383,16384
1249,16383,16384
1250,16383,16384
1251,16383,16384
1252,16383,16384
1253,16383,16384
1254,16383,16384
1255,16383,16384
1256,16383,16384
1257,16383,16384
1258,16383,16384
1259,16383,16384
1260,16383,16384
1261,16383,16384
1262,16383,16384
1263,16383,16384
1264,16383,16384
1265,16383,16384
1266,16383,16384
1267,16383,16384
1268,16383,16384
1269,16383,16384
