id,boa_peak,boa_size
0,452,788
1,8645,2100
2,2374,1874
3,2374,1874
4,452,788
5,8645,2100
6,4262,957
7,4262,957
8,452,788
9,8645,2100
10,2374,1874
11,2374,1874
12,452,788
13,8645,2100
14,4262,957
15,4262,957
16,452,788
17,8645,2100
18,2374,1874
19,2374,1874
20,452,788
21,8645,2100
22,4262,957
23,4262,957
24,452,788
25,8645,2100
26,2374,1874
27,2374,1874
28,452,788
29,8645,2100
30,4262,957
31,4262,957
32,420,190
33,8613,1055
34,4262,957
35,4262,957
36,420,190
37,8613,1055
38,4262,957
39,4262,957
40,420,190
41,8613,1055
42,4262,957
43,4262,957
44,420,190
45,8613,1055
46,4262,957
47,4262,957
48,452,788
49,8645,2100
50,4262,957
51,4262,957
52,452,788
53,8645,2100
54,4262,957
55,4262,957
56,452,788
57,8645,2100
58,4262,957
59,4262,957
60,452,788
61,8645,2100
62,4262,957
63,4262,957
64,452,788
65,452,788
66,2374,1874
67,2374,1874
68,452,788
69,452,788
70,2374,1874
71,12743,480
72,452,788
73,452,788
74,2374,1874
75,2374,1874
76,452,788
77,452,788
78,4550,393
79,12743,480
80,452,788
81,452,788
82,2374,1874
83,2374,1874
84,452,788
85,452,788
86,2374,1874
87,12743,480
88,452,788
89,452,788
90,2374,1874
91,2374,1874
92,452,788
93,452,788
94,4550,393
95,12743,480
96,452,788
97,452,788
98,2374,1874
99,2374,1874
100,452,788
101,452,788
102,4550,393
103,12743,480
104,452,788
105,452,788
106,5110,1714
107,13303,1578
108,452,788
109,452,788
110,4550,393
111,12743,480
112,1012,453
113,1012,453
114,5110,1714
115,5110,1714
116,1012,453
117,1012,453
118,5110,1714
119,13303,1578
120,1012,453
121,1012,453
122,5110,1714
123,13303,1578
124,1012,453
125,1012,453
126,5110,1714
127,13303,1578
128,452,788
129,8645,2100
130,4262,957
131,4262,957
132,452,788
133,8645,2100
134,4262,957
135,4262,957
136,452,788
137,8645,2100
138,2374,1874
139,4262,957
140,452,788
141,8645,2100
142,452,788
143,4262,957
144,452,788
145,8645,2100
146,4262,957
147,4262,957
148,452,788
149,8645,2100
150,4262,957
151,4262,957
152,452,788
153,8645,2100
154,2374,1874
155,4262,957
156,452,788
157,8645,2100
158,452,788
159,4262,957
160,420,190
161,8613,1055
162,4262,957
163,4262,957
164,420,190
165,8613,1055
166,4262,957
167,4262,957
168,420,190
169,8613,1055
170,4262,957
171,4262,957
172,420,190
173,8613,1055
174,420,190
175,4262,957
176,1012,453
177,8645,2100
178,5110,1714
179,13303,1578
180,420,190
181,8613,1055
182,4262,957
183,4262,957
184,452,788
185,8645,2100
186,2374,1874
187,13303,1578
188,420,190
189,8613,1055
190,420,190
191,4262,957
192,452,788
193,452,788
194,2374,1874
195,2374,1874
196,452,788
197,452,788
198,452,788
199,12743,480
200,452,788
201,452,788
202,2374,1874
203,12743,480
204,452,788
205,452,788
206,4550,393
207,12743,480
208,1012,453
209,1012,453
210,5110,1714
211,5110,1714
212,452,788
213,452,788
214,452,788
215,13303,1578
216,1012,453
217,1012,453
218,5110,1714
219,13303,1578
220,452,788
221,452,788
222,5110,1714
223,13303,1578
224,1012,453
225,1012,453
226,5110,1714
227,5110,1714
228,452,788
229,452,788
230,4262,957
231,4262,957
232,1012,453
233,1012,453
234,5110,1714
235,13303,1578
236,452,788
237,452,788
238,4262,957
239,4262,957
240,1012,453
241,1012,453
242,5110,1714
243,5110,1714
244,1012,453
245,1012,453
246,5110,1714
247,13303,1578
248,1012,453
249,1012,453
250,5110,1714
251,13303,1578
252,1012,453
253,1012,453
254,5110,1714
255,13303,1578
256,452,788
257,8645,2100
258,2374,1874
259,2374,1874
260,452,788
261,8645,2100
262,452,788
263,8645,2100
264,452,788
265,8645,2100
266,2374,1874
267,2374,1874
268,452,788
269,8645,2100
270,2374,1874
271,2374,1874
272,452,788
273,8645,2100
274,2374,1874
275,2374,1874
276,452,788
277,8645,2100
278,452,788
279,8645,2100
280,452,788
281,8645,2100
282,2374,1874
283,2374,1874
284,452,788
285,8645,2100
286,2374,1874
287,2374,1874
288,420,190
289,8613,1055
290,4262,957
291,4262,957
292,420,190
293,8613,1055
294,420,190
295,8613,1055
296,420,190
297,8613,1055
298,4262,957
299,4262,957
300,420,190
301,8613,1055
302,420,190
303,8613,1055
304,1012,453
305,1012,453
306,5110,1714
307,5110,1714
308,1012,453
309,1012,453
310,5110,1714
311,5110,1714
312,452,788
313,8645,2100
314,2374,1874
315,2374,1874
316,452,788
317,8645,2100
318,2374,1874
319,2374,1874
320,452,788
321,452,788
322,2374,1874
323,2374,1874
324,452,788
325,452,788
326,2374,1874
327,2374,1874
328,452,788
329,452,788
330,2374,1874
331,2374,1874
332,452,788
333,452,788
334,2374,1874
