id,boa_peak,boa_size
0,2374,1011
1,2611,660
2,2374,1011
3,2611,660
4,2374,1011
5,2311,509
6,2374,1011
7,2311,509
8,2374,1011
9,8463,44
10,2374,1011
11,8463,44
12,2374,1011
13,2311,509
14,2374,1011
15,2311,509
16,6514,748
17,6451,149
18,6514,748
19,2611,660
20,2374,1011
21,2311,509
22,2374,1011
23,2311,509
24,12638,690
25,8463,44
26,12638,690
27,8463,44
28,12638,690
29,12575,187
30,12638,690
31,12575,187
32,2611,660
33,2611,660
34,6514,748
35,2611,660
36,2311,509
37,2311,509
38,959,2015
39,959,2015
40,959,2015
41,959,2015
42,959,2015
43,959,2015
44,959,2015
45,959,2015
46,959,2015
47,959,2015
48,6514,748
49,2611,660
50,6514,748
51,2611,660
52,2623,455
53,2623,455
54,959,2015
55,959,2015
56,959,2015
57,959,2015
58,959,2015
59,959,2015
60,959,2015
61,959,2015
62,959,2015
63,959,2015
64,2374,1011
65,2374,1011
66,2374,1011
67,2611,660
68,2374,1011
69,2374,1011
70,2374,1011
71,2374,1011
72,2374,1011
73,8526,124
74,2374,1011
75,8526,124
76,2374,1011
77,2374,1011
78,2374,1011
79,2374,1011
80,6514,748
81,6514,748
82,6514,748
83,2611,660
84,2374,1011
85,6514,748
86,2374,1011
87,2374,1011
88,12638,690
89,8526,124
90,12638,690
91,8526,124
92,12638,690
93,12638,690
94,12638,690
95,12638,690
96,6514,748
97,2611,660
98,6514,748
99,2611,660
100,2374,1011
101,3699,381
102,2374,1011
103,959,2015
104,2374,1011
105,8367,82
106,2374,1011
107,8367,82
108,2374,1011
109,959,2015
110,2374,1011
111,959,2015
112,6514,748
113,2611,660
114,6514,748
115,2611,660
116,6514,748
117,2611,660
118,12638,690
119,959,2015
120,6514,748
121,959,2015
122,12638,690
123,959,2015
124,12638,690
125,959,2015
126,12638,690
127,959,2015
128,10931,172
129,10931,172
130,959,2015
131,959,2015
132,8357,25
133,8357,25
134,959,2015
135,959,2015
136,959,2015
137,959,2015
138,959,2015
139,959,2015
140,959,2015
141,959,2015
142,959,2015
143,959,2015
144,14771,233
145,14771,233
146,6514,748
147,2611,660
148,14771,233
149,14771,233
150,959,2015
151,959,2015
152,959,2015
153,959,2015
154,959,2015
155,959,2015
156,959,2015
157,959,2015
158,959,2015
159,959,2015
160,10931,172
161,10931,172
162,10931,172
163,10931,172
164,8357,25
165,8357,25
166,959,2015
167,959,2015
168,959,2015
169,959,2015
170,959,2015
171,959,2015
172,959,2015
173,959,2015
174,959,2015
175,959,2015
176,14771,233
177,14771,233
178,2611,660
179,2611,660
180,14771,233
181,14771,233
182,959,2015
183,959,2015
184,959,2015
185,959,2015
186,959,2015
187,959,2015
188,959,2015
189,959,2015
190,959,2015
191,959,2015
192,14834,331
193,12019,574
194,2374,1011
195,959,2015
196,14834,331
197,12019,574
198,2374,1011
199,959,2015
200,2374,1011
201,959,2015
202,2374,1011
203,959,2015
204,2374,1011
205,959,2015
206,2374,1011
207,959,2015
208,12752,41
209,13553,240
210,6514,748
211,2611,660
212,12752,41
213,13553,240
214,12638,690
215,959,2015
216,959,2015
217,959,2015
218,959,2015
219,959,2015
220,12638,690
221,959,2015
222,12638,690
223,959,2015
224,12019,574
225,12019,574
226,10931,172
227,10931,172
228,12019,574
229,12019,574
230,959,2015
231,959,2015
232,2374,1011
233,959,2015
234,2374,1011
235,959,2015
236,959,2015
237,959,2015
238,959,2015
239,959,2015
240,13553,240
241,13553,240
242,6514,748
243,2611,660
244,13553,240
245,12019,574
246,959,2015
247,959,2015
248,959,2015
249,959,2015
250,959,2015
251,959,2015
252,959,2015
253,959,2015
254,959,2015
255,959,2015
256,2374,1011
257,2311,509
258,2374,1011
259,2311,509
260,2374,1011
261,2311,509
262,2374,1011
263,2311,509
264,2374,1011
265,2311,509
266,2374,1011
267,2311,509
268,2374,1011
269,2311,509
270,2374,1011
271,2311,509
272,6514,748
273,6451,149
274,6514,748
275,6451,149
276,2374,1011
277,2311,509
278,2374,1011
279,2311,509
280,12638,690
281,12575,187
282,12638,690
283,12575,187
284,12638,690
285,12575,187
286,12638,690
287,12575,187
288,6514,748
289,6451,149
290,6514,748
291,6451,149
292,2374,1011
293,2311,509
294,2374,1011
295,2311,509
296,2374,1011
297,2311,509
298,2374,1011
299,2311,509
300,2374,1011
301,2311,509
302,2374,1011
303,2311,509
304,6514,748
305,6451,149
306,6514,748
307,6451,149
308,2374,1011
309,2311,509
310,6514,748
311,6451,149
312,7480,231
313,3897,79
314,12638,690
315,12575,187
316,12638,690
317,12575,187
318,12638,690
319,12575,187
320,2374,1011
321,2374,1011
322,2374,1011
323,2374,1011
324,2374,1011
325,2374,1011
326,2374,1011
327,2374,1011
328,2374,1011
329,2374,1011
330,2374,1011
331,2374,1011
332,2374,1011
333,2374,1011
334,2374,1011
335,2374,1011
336,6514,748
337,6514,748
338,6514,748
339,6514,748
340,2374,1011
341,2374,1011
342,2374,1011
343,2374,1011
344,12638,690
345,12638,690
346,12638,690
347,12638,690
348,12638,690
349,12638,690
350,12638,690
351,12638,690
352,6514,748
353,6514,748
354,6514,748
355,6514,748
356,2374,1011
357,2374,1011
358,2374,1011
359,2374,1011
360,2374,1011
361,2374,1011
362,2374,1011
363,2374,1011
364,2374,1011
365,2374,1011
366,2374,1011
367,2374,1011
368,6514,748
369,6514,748
370,6514,748
371,6514,748
372,6514,748
373,6514,748
374,6514,748
375,6514,748
376,6514,748
377,2611,660
378,12638,690
379,12638,690
380,12638,690
381,12638,690
382,12638,690
383,12638,690
384,2374,1011
385,10129,759
386,2374,1011
387,2311,509
388,2374,1011
389,2311,509
390,2374,1011
391,959,2015
392,2374,1011
393,959,2015
394,2374,1011
395,959,2015
396,2374,1011
397,959,2015
398,2374,1011
399,959,2015
400,6514,748
401,10129,759
402,6514,748
403,959,2015
404,2374,1011
405,10129,759
406,959,2015
407,959,2015
408,959,2015
409,959,2015
410,959,2015
411,959,2015
412,959,2015
413,959,2015
414,959,2015
415,959,2015
416,9600,17
417,10129,759
418,6514,748
419,6451,149
420,10724,36
421,14309,385
422,959,2015
423,959,2015
424,959,2015
425,959,2015
426,959,2015
427,959,2015
428,959,2015
429,959,2015
430,959,2015
431,959,2015
432,6514,748
433,10129,759
434,6514,748
435,959,2015
436,2374,1011
437,959,2015
438,959,2015
439,959,2015
440,959,2015
441,959,2015
442,959,2015
443,959,2015
444,959,2015
445,959,2015
446,959,2015
447,959,2015
448,2374,1011
449,10129,759
450,2374,1011
451,2374,1011
452,2374,1011
453,2374,1011
454,2374,1011
455,959,2015
456,2374,1011
457,959,2015
458,2374,1011
459,959,2015
460,2374,1011
461,959,2015
462,2374,1011
463,959,2015
464,6514,748
465,10129,759
466,6514,748
467,959,2015
468,2374,1011
469,10129,759
470,959,2015
471,959,2015
472,959,2015
473,959,2015
474,959,2015
475,959,2015
476,959,2015
477,959,2015
478,959,2015
479,959,2015
480,14834,331
481,10129,759
482,6514,748
483,6514,748
484,10724,36
485,14309,385
486,959,2015
487,959,2015
488,2374,1011
489,959,2015
490,2374,1011
491,959,2015
492,959,2015
493,959,2015
494,959,2015
495,959,2015
496,6514,748
497,10129,759
498,6514,748
499,959,2015
500,6514,748
501,10229,47
502,959,2015
503,959,2015
504,959,2015
505,959,2015
506,959,2015
507,959,2015
508,959,2015
509,959,2015
510,959,2015
511,959,2015
512,2611,660
513,2611,660
514,2611,660
515,2611,660
516,2311,509
517,2311,509
518,2311,509
519,2311,509
520,2571,23
521,2571,23
522,2571,23
523,2571,23
524,2847,276
525,2847,276
526,2847,276
527,2847,276
528,2611,660
529,2611,660
530,2611,660
