id,boa_peak,boa_size
0,8708,1446
1,9217,1250
2,8708,1446
3,9217,1250
4,8708,1446
5,8708,1446
6,8708,1446
7,8708,1446
8,8708,1446
9,8708,1446
10,8708,1446
11,8708,1446
12,8460,349
13,8708,1446
14,8460,349
15,8708,1446
16,8708,1446
17,9217,1250
18,9232,411
19,9217,1250
20,8708,1446
21,8708,1446
22,8854,602
23,8854,602
24,8708,1446
25,8708,1446
26,2203,968
27,2203,968
28,8460,349
29,8708,1446
30,8854,602
31,2203,968
32,8708,1446
33,9217,1250
34,8708,1446
35,9217,1250
36,293,213
37,293,213
38,293,213
39,293,213
40,8708,1446
41,8708,1446
42,8708,1446
43,8708,1446
44,8460,349
45,8708,1446
46,8460,349
47,8708,1446
48,8708,1446
49,9217,1250
50,9232,411
51,6835,248
52,8708,1446
53,8708,1446
54,8854,602
55,8854,602
56,8708,1446
57,8708,1446
58,9232,411
59,3659,1070
60,8460,349
61,8708,1446
62,8854,602
63,3659,1070
64,8708,1446
65,9217,1250
66,9810,450
67,3659,1070
68,8652,1103
69,500,489
70,8652,1103
71,9543,131
72,8708,1446
73,8708,1446
74,3659,1070
75,3659,1070
76,8652,1103
77,8652,1103
78,8652,1103
79,3659,1070
80,8708,1446
81,9217,1250
82,9810,450
83,3659,1070
84,9684,2126
85,9684,2126
86,9810,450
87,3659,1070
88,8708,1446
89,8708,1446
90,3659,1070
91,3659,1070
92,8652,1103
93,8708,1446
94,8652,1103
95,3659,1070
96,8708,1446
97,9217,1250
98,9810,450
99,3659,1070
100,500,489
101,500,489
102,500,489
103,500,489
104,8708,1446
105,8708,1446
106,3659,1070
107,3659,1070
108,8652,1103
109,500,489
110,8652,1103
111,500,489
112,8708,1446
113,9217,1250
114,9810,450
115,3659,1070
116,500,489
117,500,489
118,9684,2126
119,9684,2126
120,8708,1446
121,8708,1446
122,9810,450
123,3659,1070
124,8652,1103
125,500,489
126,8652,1103
127,3659,1070
128,8708,1446
129,9217,1250
130,8708,1446
131,9347,354
132,8708,1446
133,8708,1446
134,8854,602
135,8708,1446
136,8708,1446
137,8708,1446
138,8708,1446
139,2203,968
140,8652,1103
141,8708,1446
142,8708,1446
143,2203,968
144,8854,602
145,2203,968
146,9232,411
147,2203,968
148,8854,602
149,8854,602
150,8854,602
151,8854,602
152,8708,1446
153,2203,968
154,2203,968
155,2203,968
156,8854,602
157,2203,968
158,8854,602
159,2203,968
160,8708,1446
161,9217,1250
162,8708,1446
163,9347,354
164,500,489
