id,boa_peak,boa_size
0,3,30
1,3,30
2,3,30
3,3,30
4,11,35
5,11,35
6,7,18
7,7,18
8,11,35
9,11,35
10,11,35
11,11,35
12,11,35
13,11,35
14,15,10
15,15,10
16,19,2
17,238,15
18,4589,149
19,19,2
20,11,35
21,11,35
22,23,3
23,23,3
24,7,18
25,7,18
26,475,23
27,27,3
28,3,30
29,3,30
30,31,4
31,31,4
32,35,9
33,35,9
34,35,9
35,35,9
36,43,13
37,475,23
38,7972,92
39,7972,92
40,43,13
41,43,13
42,43,13
43,43,13
44,43,13
45,43,13
46,47,7
47,47,7
48,463,25
49,463,25
50,178,100
51,178,100
52,11,35
53,459,24
54,178,100
55,178,100
56,7,18
57,455,8
58,7940,70
59,123,17
60,3,30
61,3,30
62,3,30
63,3,30
64,178,100
65,178,100
66,178,100
67,178,100
68,123,17
69,186,7
70,186,7
71,123,17
72,178,100
73,178,100
74,178,100
75,178,100
76,178,100
77,178,100
78,178,100
79,178,100
80,47,7
81,174,3
82,178,100
83,178,100
84,43,13
85,170,18
86,8260,77
87,8260,77
88,8260,77
89,8260,77
90,7972,92
91,8260,77
92,35,9
93,162,11
94,8096,14
95,8096,14
96,111,26
97,111,26
98,146,48
99,146,48
100,154,27
101,154,27
102,409,12
103,8260,77
104,111,26
105,111,26
106,107,9
107,107,9
108,146,48
109,146,48
110,111,26
111,111,26
112,15,10
113,142,10
114,178,100
115,178,100
116,11,35
117,138,32
118,393,9
119,178,100
120,7,18
121,7,18
122,123,17
123,123,17
124,3,30
125,130,13
126,8064,37
127,8064,37
128,130,13
129,130,13
130,130,13
131,130,13
132,138,32
133,138,32
134,134,3
135,134,3
136,138,32
137,138,32
138,138,32
139,138,32
140,138,32
141,138,32
142,142,10
143,142,10
144,146,48
145,146,48
146,146,48
147,146,48
148,138,32
149,138,32
150,150,3
151,150,3
152,154,27
153,154,27
154,154,27
155,154,27
156,130,13
157,130,13
158,158,7
159,158,7
160,162,11
161,162,11
162,162,11
163,162,11
164,170,18
165,170,18
166,7972,92
167,9382,38
168,170,18
169,170,18
170,170,18
171,170,18
172,170,18
173,170,18
174,174,3
175,8016,16
176,335,9
177,178,100
178,178,100
179,178,100
180,138,32
181,138,32
182,178,100
183,178,100
184,327,8
185,186,7
186,186,7
187,8004,4
188,130,13
189,130,13
190,178,100
191,8000,3
192,178,100
193,178,100
194,178,100
195,7996,8
196,7940,70
197,7940,70
198,7972,92
199,7972,92
200,178,100
201,178,100
202,178,100
203,7988,10
204,178,100
205,178,100
206,178,100
207,178,100
208,47,7
209,238,15
210,178,100
211,7980,15
212,43,13
213,170,18
214,7972,92
215,7976,7
216,7972,92
217,7972,92
218,7972,92
219,7972,92
220,35,9
221,162,11
222,7972,92
223,7968,14
224,7952,21
225,238,15
226,162,11
227,7964,7
228,154,27
229,154,27
230,7972,92
231,7960,12
232,7952,21
233,238,15
234,234,8
235,7956,29
236,146,48
237,146,48
238,238,15
239,7952,21
240,15,10
241,238,15
242,178,100
243,7948,18
244,11,35
245,138,32
246,178,100
247,7944,17
248,7,18
249,7940,70
250,7940,70
251,7940,70
252,3,30
253,130,13
254,7936,72
255,7936,72
256,7936,72
257,7936,72
258,3,30
259,259,1
260,7940,70
261,7940,70
262,265,3
263,7,18
264,459,24
265,265,3
266,459,24
267,459,24
268,4589,149
269,178,100
270,238,15
271,7952,21
272,7952,21
273,238,15
274,4589,149
275,4589,149
276,7956,29
277,234,8
278,234,8
279,7956,29
280,7960,12
281,7972,92
