id,boa_peak
0,9294
1,287
2,9294
3,287
4,9294
5,287
6,9294
7,287
8,9294
9,287
10,9294
11,287
12,9294
13,287
14,9294
15,287
16,9294
17,339
18,287
19,287
20,3094
21,287
22,287
23,287
24,9294
25,287
26,287
27,287
28,287
29,287
30,287
31,287
32,7720
33,7720
34,13426
35,5411
36,5684
37,9525
38,9294
39,287
40,9294
41,287
42,9294
43,287
44,7404
45,685
46,9294
47,287
48,13426
49,13426
50,13426
51,9525
52,5684
53,9525
54,287
55,287
56,3644
57,3769
58,3704
59,287
60,3644
61,9525
62,287
63,287
64,9294
65,287
66,13426
67,339
68,9294
69,9294
70,9294
71,9294
72,9294
73,287
74,9294
75,287
76,9294
77,9294
78,9294
79,9294
80,2130
81,339
82,13426
83,339
84,8406
85,469
86,8406
87,287
88,2130
89,339
90,13426
91,339
92,287
93,287
94,287
95,287
96,13426
97,13426
98,13426
99,13426
100,13564
101,7404
102,9294
103,9294
104,13426
105,13426
106,13426
107,13426
108,7404
109,7404
110,9294
111,9294
112,13426
113,13426
114,13426
115,13426
116,13426
117,13426
118,13426
119,13426
120,13426
121,13426
122,13426
123,13426
124,13426
125,13426
126,287
127,287
128,133
129,133
130,9294
131,133
132,133
133,133
134,9294
135,287
136,9294
137,133
138,9294
139,287
140,133
141,133
142,9294
143,287
144,133
145,8601
146,287
147,287
148,133
149,133
150,9294
151,287
152,7404
153,8601
154,287
155,287
156,133
157,287
158,287
159,287
160,7720
161,133
162,13426
163,5411
164,133
165,133
166,9294
167,133
168,7404
169,685
170,7404
171,685
172,7404
173,685
174,7404
175,685
176,13426
177,8601
178,287
179,9525
180,13564
181,9525
182,9294
183,287
184,7404
185,3769
186,7404
187,5019
188,7404
189,15789
190,7404
191,15789
192,133
193,133
194,8406
195,8406
196,133
197,133
198,8406
199,8406
200,9294
201,133
202,9294
203,287
204,133
205,133
206,9294
207,9294
208,469
209,469
210,8406
211,339
212,8406
213,469
214,8406
215,469
216,469
217,469
218,13426
219,339
220,8406
221,469
222,8406
223,469
224,13564
225,7404
226,13426
227,13426
228,13564
229,7404
230,13564
231,7404
232,7404
233,7404
234,15467
235,7404
236,7404
237,7404
238,7404
239,7404
240,13426
241,13426
242,13426
243,13426
244,13564
245,7404
246,13564
247,7404
248,7404
249,7404
250,7404
251,7404
252,7404
253,7404
254,7404
255,7404
256,287
257,287
258,287
259,287
260,287
261,287
262,287
263,287
264,287
265,287
266,287
267,287
268,287
269,287
270,287
271,287
272,339
273,339
274,287
275,287
276,287
277,287
278,287
279,287
280,287
281,287
282,287
283,287
284,287
285,287
286,287
287,287
288,7720
289,5411
290,5411
291,5411
292,9525
293,9525
294,287
295,287
296,287
297,287
298,287
299,287
300,9525
301,9525
302,287
303,287
304,9525
305,9525
306,9525
307,9525
308,9525
309,9525
310,287
311,287
312,287
313,287
314,287
315,287
316,9525
317,9525
318,287
319,287
320,339
321,339
322,339
323,339
324,339
325,469
326,287
327,287
328,339
329,339
330,287
331,287
332,9294
333,287
334,287
335,287
336,339
337,339
338,339
339,339
340,339
341,469
342,287
343,287
344,339
345,339
346,339
347,339
348,287
349,287
350,287
351,287
352,13426
353,13426
354,339
355,339
356,13564
357,9525
358,287
359,287
360,13426
361,339
362,287
363,287
364,7404
365,9525
366,287
367,287
368,13426
369,339
370,339
371,339
372,9525
373,9525
374,339
375,339
376,339
377,339
378,339
379,339
380,9525
381,9525
382,287
383,287
384,8601
385,8601
386,287
387,287
388,133
389,133
390,287
391,287
392,8601
393,8601
394,287
395,287
396,133
397,15789
398,287
399,287
400,8601
401,8601
402,287
403,287
404,469
405,469
406,287
407,287
408,8601
409,8601
410,287
411,287
412,287
413,287
414,287
415,287
416,7720
417,15789
418,5411
419,5411
420,15789
421,15789
422,287
423,15789
424,7404
425,15789
426,287
427,5019
428,15789
429,15789
430,287
431,15789
432,8601
433,8601
434,287
435,9525
436,9525
437,9525
438,287
439,287
440,8601
441,8601
442,287
443,5019
444,15789
445,15789
446,287
447,15789
448,469
449,469
450,339
451,339
452,469
453,469
454,8406
455,469
456,8601
457,8601
458,287
459,287
460,133
461,469
462,9294
463,287
464,469
465,469
466,339
467,339
468,469
469,469
470,8406
471,469
472,469
473,469
474,287
475,339
476,469
477,469
478,8406
479,469
480,13564
481,7404
482,339
483,339
484,13564
485,15789
486,8406
487,469
488,7404
489,7404
490,287
491,5019
492,7404
493,15789
494,287
495,15789
496,469
497,469
498,339
499,339
500,469
501,469
502,8406
503,469
504,8601
505,8601
506,287
507,5019
508,15789
509,15789
510,8406
511,469
512,7720
513,7720
514,9294
515,287
516,5684
517,5684
518,9294
519,287
520,9294
521,287
522,9294
523,287
524,3644
525,3644
526,9294
527,287
528,5684
529,9525
530,3644
531,3094
532,5684
533,9525
534,3644
535,3094
536,3644
537,3644
538,3644
539,287
540,3644
541,3644
542,3644
543,287
544,7720
545,7720
546,7720
547,5411
548,5684
549,5684
550,5684
551,5684
552,7720
553,7720
554,7720
555,685
556,5684
557,685
558,9294
559,287
560,5684
561,9525
562,5684
563,9525
564,5684
565,9525
566,5684
567,9525
568,3644
569,3769
570,3644
571,5019
572,3644
573,3644
574,3644
575,287
576,7720
577,7720
578,13426
579,339
580,5684
581,5684
582,9294
583,9294
584,9294
585,287
586,9294
587,287
588,3644
589,3644
590,9294
591,9294
592,12912
593,12912
594,13426
595,339
596,5684
597,9525
598,8406
599,287
600,3644
601,339
602,13426
603,339
604,3644
605,3644
606,3644
607,287
608,12912
609,12912
610,13426
611,13426
612,5684
613,5684
614,5684
615,5684
616,7720
617,7720
618,7720
619,685
620,5684
621,7404
622,5684
623,9294
624,12912
625,12912
626,12912
627,13426
628,5684
629,9525
630,5684
631,13426
632,12912
633,12912
634,12912
635,13426
636,3644
637,3644
638,3644
639,287
640,133
641,133
642,9294
643,655
644,133
645,133
646,9294
647,655
648,9294
649,685
650,9294
651,655
652,685
653,685
654,655
655,655
656,7404
657,7404
658,7404
659,5019
660,5684
661,3644
662,3644
663,287
664,7404
665,7404
666,7404
667,5019
668,3644
669,3644
670,3644
671,287
672,7720
673,7720
674,7720
675,685
676,5684
677,685
678,5684
679,685
680,685
681,685
