id,boa_peak,boa_size
0,9294,273
1,287,1047
2,9294,273
3,287,1047
4,9294,273
5,287,1047
6,9294,273
7,287,1047
8,9294,273
9,287,1047
10,9294,273
11,287,1047
12,9294,273
13,287,1047
14,9294,273
15,287,1047
16,9294,273
17,339,408
18,287,1047
19,287,1047
20,3094,222
21,287,1047
22,287,1047
23,287,1047
24,9294,273
25,287,1047
26,287,1047
27,287,1047
28,287,1047
29,287,1047
30,287,1047
31,287,1047
32,7720,766
33,7720,766
34,13426,698
35,5411,265
36,5684,188
37,9525,797
38,9294,273
39,287,1047
40,9294,273
41,287,1047
42,9294,273
43,287,1047
44,7404,3827
45,685,48
46,9294,273
47,287,1047
48,13426,698
49,13426,698
50,13426,698
51,9525,797
52,5684,188
53,9525,797
54,287,1047
55,287,1047
56,3644,678
57,3769,150
58,3704,127
59,287,1047
60,3644,678
61,9525,797
62,287,1047
63,287,1047
64,9294,273
65,287,1047
66,13426,698
67,339,408
68,9294,273
69,9294,273
70,9294,273
71,9294,273
72,9294,273
73,287,1047
74,9294,273
75,287,1047
76,9294,273
77,9294,273
78,9294,273
79,9294,273
80,2130,49
81,339,408
82,13426,698
83,339,408
84,8406,193
85,469,207
86,8406,193
87,287,1047
88,2130,49
89,339,408
90,13426,698
91,339,408
92,287,1047
93,287,1047
94,287,1047
95,287,1047
96,13426,698
97,13426,698
98,13426,698
99,13426,698
100,13564,157
101,7404,3827
102,9294,273
103,9294,273
104,13426,698
105,13426,698
106,13426,698
107,13426,698
108,7404,3827
109,7404,3827
110,9294,273
111,9294,273
112,13426,698
113,13426,698
114,13426,698
115,13426,698
116,13426,698
117,13426,698
118,13426,698
119,13426,698
120,13426,698
121,13426,698
122,13426,698
123,13426,698
124,13426,698
125,13426,698
126,287,1047
127,287,1047
128,133,72
129,133,72
130,9294,273
131,133,72
132,133,72
133,133,72
134,9294,273
135,287,1047
136,9294,273
137,133,72
138,9294,273
139,287,1047
140,133,72
141,133,72
142,9294,273
143,287,1047
144,133,72
145,8601,257
146,287,1047
147,287,1047
148,133,72
149,133,72
150,9294,273
151,287,1047
152,7404,3827
153,8601,257
154,287,1047
155,287,1047
156,133,72
157,287,1047
158,287,1047
159,287,1047
160,7720,766
161,133,72
162,13426,698
163,5411,265
164,133,72
165,133,72
166,9294,273
167,133,72
168,7404,3827
169,685,48
170,7404,3827
171,685,48
172,7404,3827
173,685,48
174,7404,3827
175,685,48
176,13426,698
177,8601,257
178,287,1047
179,9525,797
180,13564,157
181,9525,797
182,9294,273
183,287,1047
184,7404,3827
185,3769,150
186,7404,3827
187,5019,169
188,7404,3827
189,15789,1269
190,7404,3827
191,15789,1269
192,133,72
193,133,72
194,8406,193
195,8406,193
196,133,72
197,133,72
198,8406,193
199,8406,193
200,9294,273
201,133,72
202,9294,273
203,287,1047
204,133,72
205,133,72
206,9294,273
207,9294,273
208,469,207
209,469,207
210,8406,193
211,339,408
212,8406,193
213,469,207
214,8406,193
215,469,207
216,469,207
217,469,207
218,13426,698
219,339,408
220,8406,193
221,469,207
222,8406,193
223,469,207
