id,boa_peak,boa_size
0,4736,1431
1,4736,1431
2,4736,1431
3,4736,1431
4,4708,1226
5,4708,1226
6,4708,1226
7,4707,1428
8,4708,1226
9,4707,1428
10,4707,1428
11,4707,1428
12,4703,1984
13,4703,1984
14,4703,1984
15,4703,1984
16,4703,1984
17,4703,1984
18,4703,1984
19,4703,1984
20,4703,1984
21,4703,1984
22,4703,1984
23,4703,1984
24,4703,1984
25,4703,1984
26,4703,1984
27,4703,1984
28,4703,1984
29,4703,1984
30,4703,1984
31,4703,1984
32,4708,1226
33,4707,1428
34,4707,1428
35,4707,1428
36,4708,1226
37,4708,1226
38,4708,1226
39,4707,1428
40,4708,1226
41,4707,1428
42,4707,1428
43,4707,1428
44,4708,1226
45,4708,1226
46,4708,1226
47,4707,1428
48,4708,1226
49,4707,1428
50,4707,1428
51,4707,1428
52,4708,1226
53,4708,1226
54,4708,1226
55,4707,1428
56,4708,1226
57,4707,1428
58,4707,1428
59,4707,1428
60,4703,1984
61,4703,1984
62,4703,1984
63,4703,1984
64,4708,1226
65,4707,1428
66,4707,1428
67,4707,1428
68,4708,1226
69,4708,1226
70,4708,1226
71,4707,1428
72,4708,1226
73,4707,1428
74,4707,1428
75,4707,1428
76,4703,1984
77,4703,1984
78,4703,1984
79,4703,1984
80,4703,1984
81,4703,1984
82,4703,1984
83,4703,1984
84,4703,1984
85,4703,1984
86,4703,1984
87,4703,1984
88,4703,1984
89,4703,1984
90,4703,1984
91,4703,1984
92,4703,1984
93,4703,1984
94,4703,1984
95,4703,1984
96,4708,1226
97,4707,1428
98,4707,1428
99,4707,1428
100,4708,1226
101,4708,1226
102,4708,1226
103,4707,1428
104,4708,1226
105,4707,1428
106,4707,1428
107,4707,1428
108,4708,1226
109,4708,1226
110,4708,1226
111,4707,1428
112,4708,1226
113,4707,1428
114,4707,1428
115,4707,1428
116,4708,1226
117,4708,1226
118,4708,1226
119,4707,1428
120,4708,1226
121,4707,1428
122,4707,1428
123,4707,1428
124,4703,1984
125,4703,1984
126,4703,1984
127,4703,1984
128,4736,1431
129,4736,1431
130,4736,1431
131,4736,1431
132,4736,1431
133,4736,1431
134,4736,1431
135,4736,1431
136,4736,1431
137,4736,1431
138,4736,1431
139,4736,1431
140,4736,1431
141,4736,1431
142,4736,1431
143,4736,1431
144,4736,1431
145,4736,1431
146,4736,1431
147,4736,1431
148,4736,1431
149,4736,1431
150,4736,1431
151,4736,1431
152,4736,1431
153,4736,1431
154,4736,1431
155,4736,1431
156,4736,1431
157,4736,1431
158,4736,1431
159,4736,1431
160,4736,1431
161,4736,1431
162,4736,1431
163,4736,1431
164,4736,1431
165,4736,1431
166,4736,1431
167,4736,1431
168,4736,1431
169,4736,1431
170,4736,1431
171,4736,1431
172,4736,1431
173,4736,1431
174,4736,1431
175,4736,1431
176,4736,1431
177,4736,1431
178,4736,1431
179,4736,1431
180,4736,1431
181,4708,1226
182,4708,1226
183,4707,1428
184,4708,1226
185,4707,1428
186,4707,1428
187,4707,1428
188,4703,1984
189,4703,1984
190,4703,1984
191,4703,1984
192,4736,1431
193,4736,1431
194,4736,1431
195,4736,1431
196,4708,1226
197,4708,1226
198,4708,1226
199,4707,1428
200,4708,1226
201,4707,1428
202,4707,1428
203,4707,1428
204,4703,1984
205,4703,1984
206,4703,1984
207,4703,1984
208,4703,1984
209,4703,1984
210,4703,1984
211,4703,1984
212,4703,1984
213,4703,1984
214,4703,1984
215,4703,1984
216,4703,1984
217,4703,1984
218,4703,1984
219,4703,1984
220,4703,1984
221,4703,1984
222,4703,1984
223,4703,1984
224,4708,1226
225,4707,1428
226,4707,1428
227,4707,1428
228,4708,1226
229,4607,2639
230,4607,2639
231,4607,2639
232,4607,2639
233,4607,2639
234,4607,2639
235,4607,2639
236,4607,2639
237,4607,2639
238,4607,2639
239,4607,2639
240,4607,2639
241,4607,2639
242,4607,2639
243,4607,2639
244,4607,2639
245,4607,2639
246,4607,2639
247,4607,2639
248,4607,2639
249,4607,2639
250,4607,2639
251,4607,2639
252,4607,2639
253,4607,2639
254,4607,2639
255,4607,2639
256,4736,1431
257,4736,1431
258,4736,1431
259,4736,1431
260,4708,1226
